unitid,year,n_awards,n_awards_total,cosme_ratio
101277,2011,18,18,1.0
101277,2012,19,19,1.0
101277,2013,63,63,1.0
101277,2014,55,55,1.0
101277,2015,134,134,1.0
101277,2016,70,70,1.0
101277,2017,50,50,1.0
101277,2018,41,41,1.0
101277,2019,52,52,1.0
103732,2010,35,35,1.0
103732,2011,52,52,1.0
103732,2012,54,54,1.0
103732,2013,37,37,1.0
103732,2014,27,27,1.0
103741,2010,121,121,1.0
103741,2011,80,80,1.0
103741,2012,97,97,1.0
103741,2013,89,89,1.0
103741,2014,83,83,1.0
103741,2015,78,78,1.0
103741,2016,44,44,1.0
103741,2017,42,42,1.0
103741,2018,49,49,1.0
103741,2019,46,46,1.0
103954,2010,40,40,1.0
103954,2011,57,57,1.0
103954,2012,36,36,1.0
103954,2013,33,33,1.0
103954,2014,24,24,1.0
103954,2015,23,23,1.0
103954,2016,21,21,1.0
103954,2017,38,38,1.0
103954,2018,34,34,1.0
103954,2019,37,37,1.0
104294,2010,195,195,1.0
104294,2011,157,157,1.0
104294,2012,103,103,1.0
104294,2013,83,83,1.0
104391,2010,36,51,0.7058823529411765
104391,2011,45,66,0.6818181818181818
104391,2012,28,44,0.6363636363636364
104391,2013,39,58,0.6724137931034483
104391,2014,44,59,0.7457627118644068
104391,2015,23,34,0.6764705882352942
104391,2016,20,30,0.6666666666666666
104391,2017,23,31,0.7419354838709677
104391,2018,25,30,0.8333333333333334
104391,2019,13,17,0.7647058823529411
104434,2010,45,45,1.0
104434,2011,28,28,1.0
104434,2012,28,28,1.0
104434,2013,40,40,1.0
104434,2014,30,30,1.0
104434,2015,32,32,1.0
104434,2016,22,22,1.0
104434,2017,21,21,1.0
104434,2018,17,17,1.0
104434,2019,27,27,1.0
104443,2010,96,96,1.0
104443,2011,66,66,1.0
104443,2012,108,108,1.0
104443,2013,70,70,1.0
104443,2014,55,55,1.0
104443,2015,53,53,1.0
104443,2016,32,32,1.0
104443,2017,35,35,1.0
104443,2018,29,29,1.0
104443,2019,30,30,1.0
104568,2010,165,165,1.0
104568,2011,110,110,1.0
104568,2012,157,157,1.0
104568,2013,170,170,1.0
104568,2014,139,139,1.0
104568,2015,184,184,1.0
104568,2016,204,204,1.0
104568,2017,177,177,1.0
104568,2018,174,174,1.0
104568,2019,225,225,1.0
104911,2010,135,135,1.0
104911,2011,151,151,1.0
104911,2012,152,152,1.0
104911,2013,117,117,1.0
104911,2014,118,118,1.0
104911,2015,75,75,1.0
104911,2016,63,63,1.0
105127,2010,80,80,1.0
105127,2011,88,88,1.0
105701,2010,40,40,1.0
105701,2011,38,38,1.0
105701,2012,43,43,1.0
105701,2013,28,28,1.0
105701,2014,25,25,1.0
105701,2015,27,27,1.0
105701,2016,27,27,1.0
105701,2017,17,17,1.0
106111,2010,99,99,1.0
106111,2011,87,87,1.0
106111,2012,98,98,1.0
106111,2013,75,75,1.0
106111,2014,92,92,1.0
106111,2015,54,54,1.0
106111,2016,58,58,1.0
106111,2017,42,42,1.0
106111,2018,35,35,1.0
106111,2019,43,43,1.0
106281,2010,26,26,1.0
106281,2011,30,30,1.0
106281,2012,17,17,1.0
106281,2013,28,28,1.0
106281,2014,24,24,1.0
106281,2015,13,13,1.0
106281,2016,9,9,1.0
106315,2010,24,24,1.0
106315,2011,23,23,1.0
106315,2012,20,20,1.0
106315,2013,19,19,1.0
106315,2014,28,28,1.0
106315,2015,21,21,1.0
106315,2016,30,30,1.0
106315,2017,43,43,1.0
106315,2018,51,51,1.0
106315,2019,66,66,1.0
106324,2010,32,32,1.0
106324,2011,29,29,1.0
106324,2012,19,19,1.0
106324,2013,17,17,1.0
106324,2014,25,25,1.0
106324,2015,33,33,1.0
106324,2016,15,15,1.0
106324,2017,15,15,1.0
106324,2018,15,15,1.0
106324,2019,15,15,1.0
106351,2010,72,72,1.0
106351,2011,58,58,1.0
106351,2012,62,62,1.0
106351,2013,61,61,1.0
106351,2014,55,55,1.0
106351,2015,83,83,1.0
106351,2016,79,79,1.0
106351,2017,52,52,1.0
106351,2018,25,25,1.0
106351,2019,35,35,1.0
106360,2010,26,26,1.0
106360,2011,24,24,1.0
106360,2012,26,26,1.0
106360,2013,29,29,1.0
106360,2014,25,25,1.0
106360,2015,18,18,1.0
106360,2016,15,15,1.0
106360,2017,15,15,1.0
106360,2018,14,14,1.0
106360,2019,15,15,1.0
106494,2010,38,38,1.0
106494,2011,31,31,1.0
106494,2012,29,29,1.0
106494,2013,35,35,1.0
106494,2014,30,30,1.0
106494,2015,28,28,1.0
106494,2016,27,27,1.0
106494,2017,22,22,1.0
106494,2018,24,24,1.0
106494,2019,19,19,1.0
106607,2010,21,21,1.0
106607,2011,55,55,1.0
106908,2010,65,65,1.0
106908,2011,149,149,1.0
106908,2012,240,240,1.0
106908,2013,204,204,1.0
106908,2014,210,210,1.0
106908,2015,234,234,1.0
106908,2016,170,170,1.0
106908,2017,201,201,1.0
106908,2018,202,202,1.0
106908,2019,223,223,1.0
107099,2010,43,43,1.0
107099,2011,48,48,1.0
107099,2012,48,48,1.0
107099,2013,43,43,1.0
107099,2014,35,35,1.0
107099,2015,33,33,1.0
107099,2016,33,33,1.0
107099,2017,18,18,1.0
107099,2018,18,18,1.0
107099,2019,17,17,1.0
107211,2010,16,16,1.0
107211,2011,16,16,1.0
107211,2012,26,26,1.0
107211,2013,17,17,1.0
107211,2014,11,11,1.0
107211,2015,11,11,1.0
107211,2016,8,8,1.0
107220,2010,85,85,1.0
107220,2011,188,188,1.0
107220,2012,135,135,1.0
107220,2013,230,230,1.0
107220,2014,160,160,1.0
107220,2015,175,175,1.0
107220,2016,140,140,1.0
107220,2017,126,126,1.0
107220,2018,142,142,1.0
107220,2019,150,150,1.0
107275,2010,13,13,1.0
107275,2011,9,9,1.0
107275,2012,4,4,1.0
107275,2013,11,11,1.0
107293,2010,64,64,1.0
107293,2011,30,30,1.0
107293,2012,45,45,1.0
107293,2013,56,56,1.0
107293,2014,39,39,1.0
107293,2015,73,73,1.0
107293,2016,45,45,1.0
107293,2017,31,31,1.0
107293,2018,30,30,1.0
107293,2019,34,34,1.0
107363,2010,29,29,1.0
107363,2011,20,20,1.0
107363,2012,25,25,1.0
107363,2013,30,30,1.0
107363,2014,29,29,1.0
107363,2015,19,19,1.0
107363,2016,20,20,1.0
107442,2010,34,34,1.0
107442,2011,53,53,1.0
107442,2012,49,49,1.0
107442,2013,32,32,1.0
107442,2014,40,40,1.0
107442,2015,34,34,1.0
107442,2016,35,35,1.0
107442,2017,21,21,1.0
107442,2018,31,31,1.0
107442,2019,21,21,1.0
107655,2010,20,20,1.0
107655,2011,41,41,1.0
107655,2012,29,29,1.0
107655,2013,27,27,1.0
107655,2014,18,18,1.0
107655,2015,15,15,1.0
107655,2016,26,26,1.0
107655,2017,16,16,1.0
107655,2018,14,14,1.0
107655,2019,18,18,1.0
107789,2010,33,33,1.0
107789,2011,58,58,1.0
107789,2012,71,71,1.0
107789,2013,65,65,1.0
107789,2014,58,58,1.0
107789,2015,76,76,1.0
107789,2016,63,63,1.0
107789,2017,70,70,1.0
107789,2018,72,72,1.0
107789,2019,65,65,1.0
107831,2010,31,31,1.0
107831,2011,29,29,1.0
107831,2012,39,39,1.0
107831,2013,32,32,1.0
107831,2014,29,29,1.0
107831,2015,25,25,1.0
107831,2016,29,29,1.0
107831,2017,14,14,1.0
107831,2018,16,16,1.0
107831,2019,30,30,1.0
108065,2010,7,7,1.0
108065,2011,8,8,1.0
108065,2012,16,16,1.0
108065,2013,13,13,1.0
108065,2014,12,12,1.0
108065,2015,9,9,1.0
108065,2016,6,6,1.0
108065,2017,6,6,1.0
108065,2018,6,6,1.0
108065,2019,12,12,1.0
108649,2010,72,72,1.0
108649,2011,68,68,1.0
108649,2012,114,114,1.0
108649,2013,116,116,1.0
108649,2014,100,100,1.0
108649,2015,103,103,1.0
108649,2016,83,83,1.0
108649,2017,72,72,1.0
108649,2018,76,76,1.0
108649,2019,81,81,1.0
108977,2010,22,22,1.0
108977,2011,16,16,1.0
