UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1088,"R",1269,"R",86,"R",1001,"Z",0,"R",1001,"R",632,"R",63,"R",8,"R",0,"R",8,"R",4,"R",50,"R",15
100663,"R",1732,"R",3277,"R",53,"R",1653,"R",0,"R",1653,"R",1325,"R",80,"R",22,"R",0,"R",22,"R",11,"R",50,"R",18
100690,"R",3,"R",7,"R",43,"R",8,"R",0,"R",8,"R",3,"R",38,"R",3,"R",0,"R",3,"R",1,"R",33,"R",10
100706,"R",638,"R",1474,"R",43,"R",615,"R",0,"R",615,"R",498,"R",81,"R",9,"R",0,"R",9,"R",4,"R",44,"R",16
100724,"R",1520,"R",1768,"R",86,"R",1436,"R",0,"R",1436,"R",893,"R",62,"R",43,"R",0,"R",43,"R",13,"R",30,"R",16
100751,"R",6428,"R",8133,"R",79,"R",6338,"R",40,"R",6298,"R",5479,"R",87,"R",33,"R",1,"R",32,"R",21,"R",66,"R",21
100760,"R",470,"R",762,"R",62,"R",464,"Z",0,"R",464,"R",198,"R",43,"R",226,"Z",0,"R",226,"R",94,"R",42,"R",17
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",17
100830,"R",589,"R",1105,"R",53,"R",579,"Z",0,"R",579,"R",366,"R",63,"R",77,"Z",0,"R",77,"R",35,"R",45,"R",16
100858,"R",3696,"R",4813,"R",77,"R",3805,"R",0,"R",3805,"R",3404,"R",89,"R",34,"R",0,"R",34,"R",29,"R",85,"R",18
100937,"R",356,"R",384,"R",93,"R",327,"R",1,"R",326,"R",262,"R",80,"A",,"A",,"A",,"A",,"A",,"R",13
101028,"R",333,"R",794,"R",42,"R",364,"R",0,"R",364,"R",188,"R",52,"R",82,"R",0,"R",82,"R",27,"R",33,"R",18
101073,"R",147,"R",244,"R",60,"R",156,"R",0,"R",156,"R",64,"R",41,"R",1,"R",0,"R",1,"R",0,"R",0,"R",17
101116,"R",27,"R",187,"R",14,"R",31,"Z",0,"R",31,"R",6,"R",19,"R",7,"Z",0,"R",7,"R",1,"R",14,"R",12
101143,"R",340,"R",1015,"R",33,"R",292,"R",0,"R",292,"R",158,"R",54,"R",60,"R",0,"R",60,"R",27,"R",45,"R",18
101161,"R",1078,"R",1906,"R",57,"R",971,"R",0,"R",971,"R",506,"R",52,"R",206,"R",0,"R",206,"R",82,"R",40,"R",25
101189,"R",287,"R",915,"R",31,"R",346,"R",0,"R",346,"R",173,"R",50,"R",23,"R",0,"R",23,"R",10,"R",43,"R",15
101240,"R",1143,"R",1985,"R",58,"R",993,"R",0,"R",993,"R",555,"R",56,"R",326,"R",0,"R",326,"R",126,"R",39,"R",20
101277,"A",,"A",,"A",,"R",44,"R",0,"R",44,"R",38,"R",86,"A",,"A",,"A",,"A",,"A",,"R",17
101286,"R",840,"R",1727,"R",49,"R",838,"R",0,"R",838,"R",469,"R",56,"R",201,"R",0,"R",201,"R",93,"R",46,"R",19
101295,"R",997,"R",1750,"R",57,"R",950,"R",0,"R",950,"R",605,"R",64,"R",181,"R",0,"R",181,"R",98,"R",54,"R",17
101301,"R",371,"R",670,"R",55,"R",337,"R",0,"R",337,"R",179,"R",53,"R",44,"R",0,"R",44,"R",12,"R",27,"R",17
101365,"R",25,"R",117,"R",21,"R",2,"R",0,"R",2,"R",1,"R",50,"R",0,"Z",0,"R",0,"Z",0,"A",,"R",13
101435,"R",261,"R",319,"R",82,"R",276,"R",0,"R",276,"R",171,"R",62,"A",,"A",,"A",,"A",,"A",,"R",14
101453,"R",7,"R",25,"R",28,"R",2,"Z",0,"R",2,"R",2,"R",100,"R",1,"Z",0,"R",1,"R",0,"R",0,"R",5
101462,"R",142,"R",766,"R",19,"R",123,"R",0,"R",123,"R",52,"R",42,"R",68,"R",0,"R",68,"R",14,"R",21,"R",19
101471,"R",246,"R",293,"R",84,"R",190,"R",0,"R",190,"R",118,"R",62,"R",52,"R",0,"R",52,"R",17,"R",33,"R",12
