UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1402,"R",1676,"R",84,"R",1288,"R",0,"R",0,"R",1288,"R",784,"R",61,"R",6,"R",0,"R",0,"R",6,"R",6,"R",100,"R",20
100663,"R",2245,"R",3965,"R",57,"R",2207,"R",8,"R",0,"R",2199,"R",1800,"R",82,"R",71,"R",0,"R",0,"R",71,"R",33,"R",46,"R",19
100690,"R",1,"R",289,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
100706,"R",1428,"R",2392,"R",60,"R",1340,"R",2,"Z",0,"R",1338,"R",1109,"R",83,"R",11,"R",0,"Z",0,"R",11,"R",1,"R",9,"R",17
100724,"R",1025,"R",1185,"R",86,"R",951,"R",0,"R",0,"R",951,"R",558,"R",59,"R",16,"R",0,"R",0,"R",16,"R",2,"R",13,"R",15
100751,"R",6632,"R",8442,"R",79,"R",7385,"R",2,"R",0,"R",7383,"R",6488,"R",88,"R",22,"R",0,"R",0,"R",22,"R",14,"R",64,"R",22
100760,"R",315,"R",775,"R",41,"R",349,"R",0,"R",0,"R",349,"R",191,"R",55,"R",44,"R",0,"R",0,"R",44,"R",15,"R",34,"R",18
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
100830,"R",730,"R",1330,"R",55,"R",627,"R",0,"R",0,"R",627,"R",420,"R",67,"R",25,"R",0,"R",0,"R",25,"R",15,"R",60,"R",17
100858,"R",4744,"R",6317,"R",75,"R",4771,"R",7,"R",0,"R",4764,"R",4287,"R",90,"R",65,"R",6,"R",0,"R",59,"R",44,"R",75,"R",19
100937,"R",328,"R",374,"R",88,"R",349,"R",0,"R",0,"R",349,"R",279,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
101028,"R",329,"R",743,"R",44,"R",276,"R",0,"R",0,"R",276,"R",150,"R",54,"R",65,"R",0,"R",0,"R",65,"R",15,"R",23,"R",17
101116,"R",7,"R",71,"R",10,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
101143,"R",317,"R",841,"R",38,"R",306,"R",0,"R",0,"R",306,"R",167,"R",55,"R",97,"R",0,"R",0,"R",97,"R",33,"R",34,"R",18
101161,"R",1441,"R",3652,"R",39,"R",1516,"R",0,"Z",0,"R",1516,"R",855,"R",56,"R",270,"R",0,"R",0,"R",270,"R",89,"R",33,"R",22
101189,"R",254,"R",924,"R",27,"R",311,"R",0,"R",0,"R",311,"R",169,"R",54,"R",14,"R",0,"R",0,"R",14,"R",8,"R",57,"R",12
101240,"R",865,"R",1835,"R",47,"R",888,"R",0,"R",0,"R",888,"R",484,"R",55,"R",216,"R",0,"R",0,"R",216,"R",109,"R",50,"R",17
101277,"A",,"A",,"A",,"R",31,"R",0,"R",0,"R",31,"R",30,"R",97,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
101286,"R",658,"R",1708,"R",39,"R",705,"Z",0,"Z",0,"R",705,"R",412,"R",58,"R",217,"Z",0,"Z",0,"R",217,"R",103,"R",47,"R",17
