UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100663, 1,  1,"R",1529,"R",1479
100663, 4,  4,"R",1,"R",1
100663, 5,  5,"R",2,"R",2
100663, 6,  6,"R",4,"R",4
100663, 9,  9,"R",2,"R",2
100663,10, 10,"R",1,"R",1
100663,12, 12,"R",25,"R",23
100663,13, 13,"R",56,"R",56
100663,16, 16,"R",1,"R",1
100663,17, 17,"R",12,"R",11
100663,18, 18,"R",4,"R",4
100663,19, 19,"R",2,"R",2
100663,20, 20,"R",1,"R",1
100663,21, 21,"R",4,"R",3
100663,22, 22,"R",5,"R",5
100663,24, 24,"R",2,"R",2
100663,26, 26,"R",3,"R",2
100663,28, 28,"R",21,"R",21
100663,29, 29,"R",4,"R",4
100663,31, 31,"R",1,"R",1
100663,33, 33,"R",1,"R",1
100663,34, 34,"R",4,"R",4
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",1,"R",1
100663,37, 37,"R",5,"R",5
100663,38, 38,"R",1,"R",1
100663,39, 39,"R",2,"R",1
100663,40, 40,"R",4,"R",4
100663,41, 41,"R",1,"R",1
100663,45, 45,"R",2,"R",2
100663,46, 46,"R",1,"R",1
100663,47, 47,"R",32,"R",31
100663,48, 48,"R",10,"R",10
100663,51, 51,"R",4,"R",4
100663,55, 55,"R",4,"R",4
100663,57, 57,"R",1,"R",1
100663,58,999,"R",1754,"R",1697
100663,90, 90,"R",19,"R",12
100663,99, 99,"R",1773,"R",1709
100706, 1,  1,"R",514,"R",493
100706, 4,  4,"R",1,"R",1
100706, 6,  6,"R",1,"R",1
100706, 8,  8,"R",1,"R",1
100706,12, 12,"R",3,"R",3
100706,13, 13,"R",4,"R",4
100706,18, 18,"R",1,"R",1
100706,21, 21,"R",11,"R",11
100706,25, 25,"R",1,"R",0
100706,27, 27,"R",1,"R",0
100706,28, 28,"R",1,"R",1
100706,29, 29,"R",1,"R",1
100706,33, 33,"R",1,"R",1
100706,37, 37,"R",2,"R",2
100706,39, 39,"R",3,"R",3
100706,41, 41,"R",1,"R",1
100706,42, 42,"R",1,"R",1
100706,44, 44,"R",1,"R",0
100706,47, 47,"R",54,"R",53
100706,51, 51,"R",2,"R",2
100706,53, 53,"R",1,"R",1
100706,57, 57,"R",18,"R",18
100706,58,999,"R",624,"R",599
100706,90, 90,"R",27,"R",17
100706,99, 99,"R",651,"R",616
100724, 1,  1,"R",903,"R",549
100724, 2,  2,"R",2,"R",2
100724, 6,  6,"R",32,"R",8
100724, 8,  8,"R",2,"R",1
100724, 9,  9,"R",1,"R",1
100724,10, 10,"R",2,"R",0
100724,11, 11,"R",7,"R",2
100724,12, 12,"R",72,"R",53
100724,13, 13,"R",267,"R",183
100724,17, 17,"R",38,"R",28
100724,18, 18,"R",7,"R",5
100724,20, 20,"R",2,"R",2
100724,21, 21,"R",2,"R",1
100724,22, 22,"R",6,"R",2
100724,23, 23,"R",2,"R",0
100724,24, 24,"R",7,"R",1
100724,26, 26,"R",34,"R",20
100724,27, 27,"R",1,"R",0
100724,28, 28,"R",7,"R",3
100724,29, 29,"R",6,"R",5
100724,32, 32,"R",1,"R",0
100724,34, 34,"R",3,"R",3
100724,36, 36,"R",5,"R",0
100724,37, 37,"R",2,"R",2
100724,39, 39,"R",18,"R",15
100724,40, 40,"R",1,"R",0
100724,42, 42,"R",2,"R",0
100724,45, 45,"R",12,"R",10
100724,47, 47,"R",6,"R",3
100724,48, 48,"R",16,"R",14
100724,51, 51,"R",4,"R",1
100724,53, 53,"R",1,"R",1
100724,55, 55,"R",2,"R",1
100724,57, 57,"R",4,"R",0
100724,58,999,"R",1477,"R",916
100724,78, 78,"R",1,"R",1
100724,89,999,"R",1,"R",1
100724,90, 90,"R",67,"R",0
100724,99, 99,"R",1545,"R",917
100751, 1,  1,"R",2578,"R",2573
100751, 2,  2,"R",6,"R",6
100751, 4,  4,"R",42,"R",40
100751, 5,  5,"R",14,"R",14
100751, 6,  6,"R",206,"R",205
100751, 8,  8,"R",52,"R",52
100751, 9,  9,"R",54,"R",53
100751,10, 10,"R",8,"R",8
100751,11, 11,"R",5,"R",5
100751,12, 12,"R",356,"R",354
100751,13, 13,"R",533,"R",533
100751,15, 15,"R",4,"R",4
100751,16, 16,"R",2,"R",2
100751,17, 17,"R",194,"R",194
100751,18, 18,"R",59,"R",59
100751,19, 19,"R",13,"R",13
100751,20, 20,"R",25,"R",24
100751,21, 21,"R",72,"R",72
100751,22, 22,"R",76,"R",76
100751,23, 23,"R",2,"R",2
100751,24, 24,"R",117,"R",117
100751,25, 25,"R",51,"R",51
100751,26, 26,"R",60,"R",60
100751,27, 27,"R",7,"R",7
100751,28, 28,"R",78,"R",78
100751,29, 29,"R",76,"R",76
100751,31, 31,"R",3,"R",3
100751,32, 32,"R",6,"R",6
100751,33, 33,"R",13,"R",13
100751,34, 34,"R",108,"R",108
100751,35, 35,"R",5,"R",5
100751,36, 36,"R",102,"R",101
100751,37, 37,"R",159,"R",158
100751,38, 38,"R",1,"R",1
100751,39, 39,"R",100,"R",100
100751,40, 40,"R",11,"R",11
100751,41, 41,"R",7,"R",7
100751,42, 42,"R",123,"R",123
100751,44, 44,"R",5,"R",5
100751,45, 45,"R",73,"R",73
100751,47, 47,"R",312,"R",312
100751,48, 48,"R",366,"R",366
100751,49, 49,"R",3,"R",3
100751,50, 50,"R",3,"R",3
100751,51, 51,"R",140,"R",140
100751,53, 53,"R",18,"R",18
100751,54, 54,"R",9,"R",9
100751,55, 55,"R",24,"R",24
100751,56, 56,"R",1,"R",1
100751,57, 57,"R",10,"R",10
100751,58,999,"R",6292,"R",6278
100751,90, 90,"R",162,"R",162
100751,99, 99,"R",6454,"R",6440
100760, 1,  1,"R",554,"R",298
100760,13, 13,"R",4,"R",2
100760,47, 47,"R",3,"R",1
100760,58,999,"R",561,"R",301
100760,99, 99,"R",561,"R",301
100830, 1,  1,"R",635,"R",445
100830, 6,  6,"R",1,"R",0
100830,12, 12,"R",4,"R",3
100830,13, 13,"R",5,"R",5
100830,47, 47,"R",3,"R",3
100830,48, 48,"R",1,"R",1
100830,51, 51,"R",2,"R",2
100830,57, 57,"R",20,"R",2
100830,58,999,"R",671,"R",461
100830,99, 99,"R",671,"R",461
100858, 1,  1,"R",2334,"R",2330
100858, 2,  2,"R",2,"R",2
100858, 6,  6,"R",34,"R",34
100858, 8,  8,"R",9,"R",9
100858, 9,  9,"R",10,"R",10
100858,10, 10,"R",2,"R",2
100858,11, 11,"R",3,"R",3
100858,12, 12,"R",191,"R",188
100858,13, 13,"R",500,"R",496
100858,15, 15,"R",1,"R",1
100858,17, 17,"R",37,"R",37
100858,18, 18,"R",6,"R",6
100858,19, 19,"R",2,"R",2
100858,20, 20,"R",3,"R",3
100858,21, 21,"R",21,"R",21
100858,22, 22,"R",14,"R",14
100858,24, 24,"R",39,"R",39
100858,25, 25,"R",12,"R",12
100858,26, 26,"R",6,"R",6
100858,27, 27,"R",7,"R",7
100858,28, 28,"R",8,"R",8
100858,29, 29,"R",8,"R",8
100858,31, 31,"R",1,"R",1
100858,32, 32,"R",1,"R",1
100858,33, 33,"R",1,"R",1
100858,34, 34,"R",22,"R",22
100858,35, 35,"R",1,"R",1
100858,36, 36,"R",17,"R",17
100858,37, 37,"R",40,"R",40
100858,39, 39,"R",24,"R",24
100858,40, 40,"R",1,"R",1
100858,41, 41,"R",1,"R",1
100858,42, 42,"R",21,"R",20
100858,44, 44,"R",3,"R",3
100858,45, 45,"R",31,"R",31
100858,47, 47,"R",116,"R",116
100858,48, 48,"R",96,"R",95
100858,49, 49,"R",1,"R",1
100858,50, 50,"R",3,"R",3
100858,51, 51,"R",53,"R",53
100858,53, 53,"R",4,"R",4
100858,54, 54,"R",1,"R",1
100858,55, 55,"R",9,"R",9
100858,57, 57,"R",4,"R",3
100858,58,999,"R",3700,"R",3686
100858,90, 90,"R",26,"R",18
100858,99, 99,"R",3726,"R",3704
101028, 1,  1,"R",294,"R",211
101028,13, 13,"R",122,"R",94
101028,15, 15,"R",1,"R",1
101028,24, 24,"R",1,"R",0
